ime,tip

Okrepcevalnica Jagoda Kebab,"""Turkish"""

Okrepcevalnica Jagoda Kebab,"""Middle Eastern"""

Gastro House 151,"""American"""

Gastro House 151,"""Italian"""

The ICE CREAM Ljubljana,"""International"""

Simit Sarayi Ljubljana,

Bar Bistro Platana,"""European"""

Chuty's - BTC City Ljubljana,

Refreshment Riviera,"""Barbecue"""

Refreshment Riviera,"""European"""

Konoba - Rival trade,"""Seafood"""

Konoba - Rival trade,"""European"""

Han,"""Chinese"""

Han,"""Asian"""

Dobra Vila Pizzeria,"""Pizza"""

Dobra Vila Pizzeria,"""Fast Food"""

Soba 102,"""Slovenian"""

Eksperiment Restaurant & Bar,"""Mediterranean"""

Eksperiment Restaurant & Bar,"""European"""

Krakovc,"""Cafe"""

Krakovc,"""Bar"""

Subway Bezigrad,"""Fast Food"""

Horse's Pub,"""European"""

Horse's Pub,"""Slovenian"""

Bistro Ambient,"""Mediterranean"""

Minicafegolf,"""Cafe"""

Minicafegolf,"""Bar"""

Restavracija B2,"""Italian"""

Pizzeria Tunnel,"""Pizza"""

Pizzeria Tunnel,"""Mexican"""

d'Burger Place,"""American"""

d'Burger Place,"""Fast Food"""

Yildiz han,"""Turkish"""

Gostilna Za Pumpo,"""Pizza"""

La Favela,"""Brazilian"""

La Favela,"""South American"""

Radha Govinda,"""Indian"""

Gostilna Roznik,"""European"""

Gostilna Roznik,"""Slovenian"""

Zvezda,"""French"""

Zvezda,"""European"""

Kavarna Zofa - Cafe Zofa,"""Pizza"""

Slascicarna in Kavarna Dulcis Caffe,

Pecnikar,"""European"""

Restavracija Zmajev Paviljon,"""Chinese"""

Restavracija Zmajev Paviljon,"""Sushi"""

Maxi Restavracija Romansa 1971,

Bio restaurant Trnulja,"""European"""

Bio restaurant Trnulja,"""Slovenian"""

Picerija Etna,"""Italian"""

Picerija Etna,"""Pizza"""

PE Pizza Pub,"""Italian"""

PE Pizza Pub,"""Pizza"""

Hotspot Bar & Bistro,"""Italian"""

Hotspot Bar & Bistro,"""Cafe"""

Gregorino,

Grill point,"""Fast Food"""

Grill point,"""Grill"""

Gostilnica Kongo,"""European"""

Gostilnica Kongo,"""Slovenian"""

Kavarna Mozaik,

Restavracija Tartuf,"""Mediterranean"""

Restavracija Tartuf,"""European"""

Domaca Peka,"""Cafe"""

Pizzeria Osmica,"""Italian"""

Pizzeria Osmica,"""Pizza"""

McDonald's,"""Fast Food"""

Osterija pri Oljki,"""European"""

Osterija pri Oljki,"""Italian"""

Barbado,

Gostilna Pekel,"""Slovenian"""

Gostilna Pekel,"""European"""

Beli Labod,"""Chinese"""

Beli Labod,"""Asian"""

Cuk Bar,

Restaurant and Pizzeria Grad Kodeljevo,"""Pizza"""

Restaurant and Pizzeria Grad Kodeljevo,"""European"""

Gujzina Mencigar Nobile,"""European"""

Gujzina Mencigar Nobile,"""Slovenian"""

Long Burgers,"""European"""

Long Burgers,"""Slovenian"""

Krejan-Levec,

Superbabi,"""European"""

Superbabi,"""Slovenian"""

Yildiz Han - Turska restavracija,"""Turkish"""

Yildiz Han - Turska restavracija,"""Middle Eastern"""

Reformer Pub,"""Italian"""

Reformer Pub,"""Bar"""

Presnica Take-Away Center (vegan and vegetarian,"""Cafe"""

Presnica Take-Away Center (vegan and vegetarian,"""Healthy"""

Halo Pinki,"""Mexican"""

Halo Pinki,"""Pizza"""

Rex Bistro Ljubljana,"""Italian"""

Rex Bistro Ljubljana,"""Pizza"""

ZAJCEK BAR,

Pri Kuklju,"""Seafood"""

Pri Kuklju,"""European"""

Plecnikov Hram Krizanke,"""Mexican"""

Plecnikov Hram Krizanke,"""European"""

Emonska Klet,"""Pizza"""

Emonska Klet,"""Bar"""

Moderna Speciality Cafe,"""Cafe"""

Moderna Speciality Cafe,"""Bar"""

Dok 19,"""Italian"""

Dok 19,"""Mexican"""

Park Bar,"""Bar"""

Park Bar,"""Cafe"""

Skrnic'lj,"""European"""

Skrnic'lj,"""Soups"""

Taco Polako,"""Mexican"""

Taco Polako,"""European"""

Curry Life Figovec,

Asian fusion restaurant TLOFT,"""Japanese"""

Asian fusion restaurant TLOFT,"""Sushi"""

Zaromanija,"""European"""

Zaromanija,"""Slovenian"""

Trnovski zvon,"""Pizza"""

Trnovski zvon,"""European"""

Nim 8 Min,"""Chinese"""

Soba 102,"""Slovenian"""

Plac,"""Pizza"""

Plac,"""Italian"""

Degustarna,"""European"""

Degustarna,"""Slovenian"""

Das ist Valter Ljubljana Center,"""European"""

Das ist Valter Ljubljana Center,"""Barbecue"""

Sunknzemlja,"""Fast Food"""

Mala Mal'ca,"""Italian"""

Mala Mal'ca,"""International"""

Restavracija XXXL,

Aga Kebap,

Gostilnica Stara trta,

Grajska Kavarna,"""Cafe"""

Grajska Kavarna,"""European"""

kitajska restavracija kitajski zmaj,"""Chinese"""

kitajska restavracija kitajski zmaj,"""Asian"""

Gostilna Brinovc,"""Seafood"""

Gostilna Brinovc,"""Mediterranean"""

Picestavracija Boccaccio,"""Italian"""

Picestavracija Boccaccio,"""Pizza"""

volta cafe,"""Pizza"""

To Je Noro,"""European"""

To Je Noro,"""Central European"""

Nisa Lokal Bistro,"""European"""

Nisa Lokal Bistro,"""Slovenian"""

Gostisce Vrbinc,

Arhiv bar,

Kacji pastir,"""Cafe"""

Marjetice,

Super Psanc PE Pavilion,"""Fast Food"""

+Kantina MSUM,"""African"""

+Kantina MSUM,"""European"""

Imperio Mexicano,"""Mexican"""

Rocky's Craft Grill & Beer,"""American"""

Kapuciner Kavarna,"""Bar"""

Kapuciner Kavarna,"""Pub"""

Kashmir Indijska Restavracija,"""Indian"""

Cube burger,"""Fast Food"""

Cube burger,"""Barbecue"""

Okrepcevalnica Podhod,

Buf Gostinstvo,"""Italian"""

Surf'n'fries,"""Fast Food"""

Gostilna Jerincek,

Rodizio do Brasil,"""Steakhouse"""

Rodizio do Brasil,"""Latin"""

Majmun restaurant & bar,

Gostilna in Pizzerija Breza,"""Steakhouse"""

Gostilna in Pizzerija Breza,"""Bar"""

SRCEK,"""Pizza"""

SRCEK,"""Cafe"""

Duff,"""Fast Food"""

Galerija Bar Trenutek,"""Italian"""

Galerija Bar Trenutek,"""Irish"""

Casa Wine & Tapas,"""Cafe"""

