ime,rating,glasovi,cena
Soba 102,4,192,$$ - $$$

Okrepcevalnica Time Out,4,1,null

Ribogojnica in izletniski turizem Kaja Marolt s.p.,4,1,null

McDonald's,4,1,null

Belidrin,4,1,null

Lunch Cafe,5,1,null

Idea Italia,4,1,$$ - $$$

Enjoy Italy,4,1,null

Cebela,3.5,3,null

Piazza del papa,4,1,null

Svilna Pot,4,1,null

Hotel Restaurant Medno,3.5,6,null

McDonald's,3,23,$

rybarska basta,5,1,null

Spanska Vas,4,1,$

Okrepcevalnica Bistro Avia Radomir Masovic S.p,4,1,null

"Ristorante, Pizzeria Bufalaf",3,6,$

Dnevni Bar Krenos,4,1,null

Ostarija Petrinka,3.5,3,null

Tombstone Saloon,4,1,null

El Clasico,3.5,4,null

BOEM - Tradicionalna Srbska Restavracija,3.5,7,$$ - $$$

Farao,3.5,3,$$ - $$$

Klub 300,3,15,$$ - $$$

Restavracija 123 Self-Service,3.5,5,$$ - $$$

Basburek Ljubljana,3.5,6,$

Swajger,4,1,$$$$

Wine Bar Suklje,5,93,null

Smiths Salads & Sandwiches,3.5,6,null

Ribarnica Valentin,3,26,$$ - $$$

Colnarna Park Tivoli,3,53,$$ - $$$

Dinner In The Dark,5,62,$$$$

la storia trattoria,3,8,null

Pizzerija Sestinka,3,3,$

Bar Arkade,5,3,$

Pri Slovenki,3,1,null

Tocka 213,3,2,$

Gostilna Pri Micki,3,1,null

L Bistro & Bar,3,2,null

Kavarna Tromostovje,3,60,$$ - $$$

Meta in Bazilika,3,28,$$ - $$$

Fnx,3.5,10,null

McDonald's,3,16,null

Gostilna Euro Gurman,4.5,3,null

Gostilna Macek,3,2,null

Kitajski Dvor,3,10,$$ - $$$

Hotel Rakov Skocjan,3,4,null

Kratochwill,2.5,2,null

Inn Ledinek,5,2,$

Centralna Postaja,3,31,$$ - $$$

Anzic,4,7,null

Terminal Lounge Bar & Club,2.5,10,$$ - $$$

HALO PINKI d.o.o.,2.5,5,$

Habibi,2.5,6,$$ - $$$

Biljardnica Kaval,2.5,3,$$ - $$$

Gostilna in pizzerija Zajcja dobrava,2.5,9,null

The Coffee,4,6,null

Halo Shaolin,1,1,null

Bar Kapo Gor,5,1,$

Urbani Piknik,5,1,null

Stara Macka,2.5,65,$$ - $$$

Spanska Vas,4.5,4,$$ - $$$

Rodizio do Brasil,4.5,169,$$ - $$$

Verace 2.0,2.5,22,$

Pizza Marija,4,15,$$ - $$$

Gostilnica Pri Mostu,5,1,$$ - $$$

Halo Katra,2,3,$$ - $$$

Kavarna LOKUS,2,7,$

Balkan GRILL,1,2,$

Running Sushi & Wok,2.5,33,$$ - $$$

Spica Caffe,2.5,30,$$ - $$$

Al Capone,2,43,$$ - $$$

Gostilna in taverna Stern,2,12,null

Drama Kavarna,4,1,$

BIFE - Socna plat solat,-1,1,null

Cokoladnica Ljubljana,-1,0,$$ - $$$

Biljardna hisa Ljubljana,-1,0,$

BTC City Ljubljana Dvorana E,-1,0,$$ - $$$

Blackout Bar & Lounge,-1,0,$

"Trgovina Vzemi s sabo, Andrej Belovic",-1,0,null

Fitcity Bar,-1,0,$$$$

Pizzerija Medobar,-1,0,null

Picerija Pr' Buric,-1,0,$$ - $$$

Cacao BTC,-1,0,$$ - $$$

Ali Baba,-1,0,null

Golden Chips,-1,0,$

Polona,-1,0,$$ - $$$

Letras d.o.o.,-1,0,$$ - $$$

Okrepcevalnica Pogaca,-1,0,null

Divinus Wine Store,-1,0,$$$$

"Foodie, restavracija in kavarna",-1,0,$$ - $$$

Plata,-1,0,null

Trzenje,-1,0,null

Allegria,4,240,$$ - $$$

Opica Food,-1,0,$

Icelend,-1,0,$$ - $$$

Kingpin Lounge Bar,-1,0,$

Kavarna Square 118,-1,0,$

Dobra Hisa,-1,0,null

Biljardnica Direkt,-1,0,$

Rex Bistro,-1,0,null

Bisto Natura,-1,0,$

S' Bistro,-1,0,$

Kitajska Restavracija,-1,0,$$ - $$$

Habitat 32,-1,0,$$ - $$$

Kiparna,-1,0,null

Cafe & Vino Bavarc,-1,0,$$ - $$$

Kavarna Trafika,-1,0,$

Krel Silvo S.p.,-1,0,$

Miriams Pub,-1,0,null

Nabrezje 15,-1,0,$$ - $$$

Acapulco lounge bar,-1,0,$

Ginger bar,-1,0,null

Yortie,-1,0,$

Kulinaric Hisa Somrak,-1,0,null

Roma,-1,0,$$ - $$$

